usage_date_utc,model,workspace,api_key,usage_type,context_window,token_type,cost_usd,list_price_usd,cost_type,inference_geo,speed,api_key_id,api_key_status
2026-07-17,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,output,0.46,0.46,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-18,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,1.94,1.94,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-18,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,6.73,6.73,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-18,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,output,0.85,0.85,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-19,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,2.71,2.71,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-19,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,output,0.53,0.53,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-20,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,0.65,0.65,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-20,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,4.75,4.75,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-20,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,output,0.7,0.7,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-21,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,2.99,2.99,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-21,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,output,0.69,0.69,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-22,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,2.29,2.29,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-22,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,0.39,0.39,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-22,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,output,0.5,0.5,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-23,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,9.62,9.62,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-23,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,10.33,10.33,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-23,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,3.33,3.33,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-23,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,output,0.95,0.95,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-24,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,6.93,6.93,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-24,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,6.91,6.91,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-24,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,output,0.74,0.74,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-25,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,3.26,3.26,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-25,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,input_no_cache,3.63,3.63,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-25,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,output,0.51,0.51,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
2026-07-25,Claude Sonnet 4.5,Default,HolaHola,message,≤ 200k,output,0.01,0.01,token,not_available,,apikey_016uFPsCGgCBYp8R88xg4WDo,active
